Authors,Year,Title,Editors,Volume,Pages,ISBN,Conference,Place,Webpage,,,
"Nienkemper-Swanepoel, J., le Roux, N.J. and Gardner-Lubbe, S.",2019,GPAbin for data visualization in the presence of missing observations,"Egozcue, J.J., Graffelman, J. and Ortego, M.I.",Proceedings of the 8th International Workshop on Compositional Data Analysis,91-97,978-84-947240-2-2,CoDaWork 2019,"Terassa, Spain",,,,
"Pierre Bernard, T. and Lubbe, S.",2015,A graphical overview of social inequality in South Africa,,Proceedings of the ISI World Statistics Congress,,,World Statistics Congress: 60th session,"Rio de Janeiro, Brazil",,,,
"Oyedele, O.V.F. and Lubbe, S.",2013,The Construction of a Partial Least Squares Biplot,,Proceedings of the ISI World Statistics Congress,4165-4170,978-9-073-59234-6,World Statistics Congress: 59th session,"Hong Kong, China",http://2013.isiproceedings.org/,,,
"Timm, A. and Gardner-Lubbe, S.",2013,The MDS-GUI: A Graphical User Interface for Comprehensive Multidimensional Scaling Applications,,Proceedings of the ISI World Statistics Congress,4159-4164,978-9-073-59234-6,World Statistics Congress: 59th session,"Hong Kong, China",http://2013.isiproceedings.org/,,,
"Gardner, S. and le Roux, N.J.",2006,Multidimensional visualisation of time series and the construction of acceptance regions in a PCA biplot,"Rizzi, A and Vichi, M","Proceedings in Computational Statistics, Physica-Verlag: Heidelberg",829-836,978-3-7908-1709-6,COMPSTAT2006,"Rome, Italy",,,,
"Gardner, S. and le Roux, N.J.",2006, Sub-species of Homopus Areolatus?  Biplots and small class inference with Analysis of Distance,"Batagelj, V, Bock, HH, Ferligoj, A and Ziberna, A","Data Science and Classification, Springer-Verlag: Berlin",221-228,978-3-540-34416-2,10th Jubilee conference of the International Federation of Classification Societies,"Ljubljana, Slovenia",,,,
"Gardner, S. and le Roux, N.J.",2005,An identification biplot for detecting forgery,,Proceedings of the ISI World Statistics Congress,,978-9-073-59223-0,World Statistics Congress: 55th session,"Sydney, Australia",http://isi.cbs.nl/iamamember/CD6-Sydney2005/ISI_Final_Proceedings.pdf,,,
"Gardner, S. and le Roux, N.J.",2004,Modified biplots for enhancing two-class discriminant analysis,"Banks, D, House, L, McMorris, FR, Arabie, P and Gaul, W","Classification, clustering and data mining applications, Springer: New York",233-240,978-3-642-17103-1,Meeting of the International Federation of Classification Societies,"Chicago, USA",,,,
"Gardner, S. and le Roux, N.J.",2003,Discriminant analysis of categorical variables:  a biplot based approach,"Schader M, Gaul W and Vichi M","Between data science and applied data analysis, Springer: Berlin",30-38,978-3-642-18991-3,26th annual conference of the Gesellschaft für Klassifikation,"Mannheim, Germany",,,,
"Gardner, S. and le Roux, N.J.",2003,Graphics and visualisation in practice:  Biplots for exploring multidimensional reality,,"Bulletin of the of the ISI Biennial Session Vol LX, Book 1",270-273,978-9-073-59230-8,World Statistics Congress: 54th session,"Berlin, Germany",http://isi.cbs.nl/iamamember/CD3/index.html,,,
"Gardner, S., le Roux, N.J. and Aldrich C.",2003,Visualisation of Process Data with Biplots,,AFCON2003,,,First African Control Conference,Somerset West South Africa,,,,
"Gardner, S. and le Roux, N.J.",2002,Biplot methodology for discriminant analysis based upon robust methods and principal curves,"Jajuga, K, Sokolowski, A and Bock, H-H","Data analysis and classification, Springer-Verlag: Berlin",169-176,978-3-540-43691-1, 8th Conference of the International Federation of Classification Societies,"Krakow, Poland",,,,
"Erasmus, P.D., Lambrechts, I.J., le Roux, N.J. and Gardner, S.",2001,Measuring the capital intensity of enterprises listed in the industrial sector of the Johannesburg Stock Exchange:  The use of value added measures,,,,,10th annual SAFA conference,University of Cape Town Graduate School of Business,,,,
"Erasmus, P.D., Lambrechts, I.J., le Roux, N.J. and Gardner, S.",2000, Determining a method to measure capital intensity for enterprises listed in the Industrial sector of the Johannesburg Stock Exchange for the period 1989 to 1996,"Bonnet, MPB, Olink, H and Spekle, RF",FMA-kroniek 2000,275-295,0926-4809,,"Erasmus Universiteit, Rotterdam",,,,
